puzzle,solution,length of solution,time(s),Nodes expanded,,,length of solution,time(s),Nodes expanded,,length of solution,average time(s),average Nodes expanded
"(0, 3, 4, 8, 2, 6, 7, 12, 9, 14, 5, 10, 1, 13, 11, 15)","['DOWN', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'RIGHT', 'UP', 'UP', 'LEFT', 'LEFT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'RIGHT']",24,0.015851974,226,,,6,0.000176191,6,,,,
"(1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12)","['DOWN', 'DOWN']",2,8.15E-05,2,,,6,0.000211716,6,,,,
"(1, 3, 4, 8, 6, 2, 10, 12, 5, 11, 0, 14, 9, 13, 15, 7)","['RIGHT', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'UP', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",20,0.004714727,93,,,6,0.000190735,6,,,,
"(1, 2, 0, 10, 5, 7, 11, 3, 13, 6, 8, 4, 14, 9, 15, 12)","['RIGHT', 'DOWN', 'DOWN', 'LEFT', 'UP', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'RIGHT', 'DOWN']",20,0.001270056,38,,,6,0.000172853,6,,,,
"(0, 2, 3, 4, 1, 6, 11, 7, 5, 14, 10, 15, 9, 13, 12, 8)","['DOWN', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'UP', 'RIGHT', 'DOWN', 'DOWN']",14,0.000476122,17,,,6,0.000197411,7,,,,
"(1, 2, 8, 3, 9, 5, 4, 12, 0, 7, 14, 11, 13, 6, 10, 15)","['UP', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'UP', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'LEFT', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT']",18,0.000569344,18,,,6,0.000241518,6,,,,
"(1, 2, 3, 4, 6, 7, 8, 0, 5, 10, 11, 15, 13, 9, 14, 12)","['DOWN', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'UP', 'LEFT', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT']",20,0.304743528,1058,,,6,0.000192642,6,,,,
"(9, 5, 3, 4, 1, 7, 8, 0, 6, 15, 10, 11, 13, 2, 14, 12)","['LEFT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'UP', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'UP', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN']",22,0.004987955,104,,,6,0.000201464,6,,,,
"(1, 7, 2, 3, 5, 0, 12, 4, 10, 6, 8, 11, 9, 13, 14, 15)","['UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",16,0.000725985,23,,,6,0.000186443,6,,,,
"(9, 5, 3, 4, 1, 7, 15, 8, 6, 2, 0, 11, 13, 10, 14, 12)","['UP', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'UP', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'DOWN']",18,0.001435995,42,,,6,0.000237942,6,,,,
"(1, 2, 6, 4, 5, 7, 3, 8, 0, 13, 11, 12, 10, 9, 14, 15)","['RIGHT', 'DOWN', 'LEFT', 'UP', 'UP', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'DOWN', 'RIGHT', 'RIGHT']",18,0.043243647,356,,,6,0.000231504,6,,,,
